名称,営業日,住所,アクセス
歌広場 新宿南口駅前店,月～日、祝日、祝前日: 10:00～翌6:00,東京都渋谷区代々木２-8-6　新宿駅前サウスビル7階,新宿駅から徒歩2分
台湾料理 皇品,月～土、祝日、祝前日: 17:00～翌3:00 （料理L.O. 翌3:00 ドリンクL.O. 翌3:00）,東京都新宿区歌舞伎町２-22-13 アドビル 1階E室,西武新宿駅北口徒歩5分
魚盛 西新宿 新宿アイランドタワー店,月～金、祝前日: 11:30～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）17:00～20:00 （料理L.O. 19:00 ドリンクL.O. 19:00）,東京都新宿区西新宿6-4-1新宿アイランドアトリウム2F,地下鉄丸の内線 西新宿駅から徒歩1分！《魚盛 新宿アイランドタワー店》新鮮な魚介と日本酒が人気！飲み放コースあり！
米助 よねすけ 新宿総本店,月～木: 16:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）金、祝前日: 16:00～翌4:30 （料理L.O. 翌3:30 ドリンクL.O. 翌4:00）土: 14:00～翌4:30 （料理L.O. 翌3:30 ドリンクL.O. 翌4:00）日、祝日: 14:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都新宿区新宿３-36-13 Mビル 7F ,"【新宿駅徒歩1分】★幹事様無料★ 3H飲み放題付8品コース3,480円～♪≪新宿　個室　居酒屋　米助≫"
バームーンウォーク 200yen bar moon walk 西武新宿駅前店,月～日、祝日、祝前日: 18:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）,東京都新宿区歌舞伎町２-45-4　第2与三郎ビル6階,西武新宿駅　徒歩1分、歌舞伎町
海幸山幸たまて箱,月～日、祝日、祝前日: 16:00～20:00 （料理L.O. 19:00 ドリンクL.O. 19:00）,東京都新宿区西新宿１-４-５　明広ビル 5F,ＪＲ新宿西口１分／創作和食が豊富な個室居酒屋 宴会は税込2980円～◎
一軒め酒場 西武新宿駅前店,月～日、祝日、祝前日: 11:00～20:00,東京都新宿区歌舞伎町１－２４－３,西武新宿線　西武新宿駅　正面口　徒歩2分
ラーメン 小次郎 歌舞伎町店,月～日、祝日、祝前日: 11:00～翌4:00 （料理L.O. 翌3:30 ドリンクL.O. 翌3:30）,東京都新宿区歌舞伎町２-37-5　日新ビル1階,JR新宿駅東口徒歩8分／西武新宿駅徒歩1分
WILD BEACH shinjuku TOKYO SKY RESORT,月～金、祝前日: 11:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）土、日、祝日: 11:00～22:30 （料理L.O. 21:30 ドリンクL.O. 22:00）,東京都新宿区新宿３-38番1号 ルミネエスト,新宿駅東口改札北側エレベーター屋上直結 　ルミネエスト屋上
おもてなしとりよし 西新宿店,月～日、祝日、祝前日: 11:00～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）15:01～20:00 （料理L.O. 19:00 ドリンクL.O. 19:00）,東京都新宿区西新宿１-１０-２  １１０ビル１１階,新宿駅より徒歩1分ある居酒屋で飲み会、大人数での宴会に是非ご利用下さいませ。個室席多数完備。
SUIGETSU すいげつ 新宿駅前店,月～日、祝日、祝前日: 14:00～翌3:00 （料理L.O. 翌2:00 ドリンクL.O. 翌2:30）,東京都新宿区歌舞伎町１-17-5 4F,新宿駅3分 焼き鳥や肉寿司など全120種類3時間食べ飲み放題
椿屋茶房 タカシマヤタイムズスクエア店,月～日、祝日、祝前日: 10:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区千駄ヶ谷５－２４－２　タカシマヤタイムズスクエア１２階,新宿駅　南口　徒歩2分　タカシマヤタイムズスクエア
